File: adapter
Build ID: ba39653ab9c5c6ce56f6614d0574263b7415fde8
Type: cpu
Time: 2026-08-10 00:06:49 IST
Duration: 30.10s, Total samples = 8.54s (28.37%)
Showing nodes accounting for 6.45s, 75.53% of 8.54s total
Dropped 304 nodes (cum <= 0.04s)
      flat  flat%   sum%        cum   cum%
     0.02s  0.23%  0.23%      3.77s 44.15%  github.com/twmb/franz-go/pkg/kgo.(*broker).handleReq
         0     0%  0.23%      3.77s 44.15%  github.com/twmb/franz-go/pkg/kgo.(*broker).handleReqs
     0.01s  0.12%  0.35%      3.63s 42.51%  github.com/twmb/franz-go/pkg/kgo.(*brokerCxn).writeRequest
     0.01s  0.12%  0.47%      3.44s 40.28%  github.com/twmb/franz-go/pkg/kmsg.(*RequestFormatter).AppendRequest
     0.02s  0.23%   0.7%      3.43s 40.16%  github.com/twmb/franz-go/pkg/kgo.(*produceRequest).AppendTo
     0.03s  0.35%  1.05%      3.36s 39.34%  github.com/twmb/franz-go/pkg/kgo.seqRecBatch.appendTo
     0.03s  0.35%  1.41%      3.29s 38.52%  github.com/twmb/franz-go/pkg/kgo.(*compressor).Compress
         0     0%  1.41%      2.20s 25.76%  compress/gzip.(*Writer).Reset (inline)
     0.01s  0.12%  1.52%      2.20s 25.76%  compress/gzip.(*Writer).init
     0.02s  0.23%  1.76%      2.19s 25.64%  compress/flate.(*Writer).Reset
     2.01s 23.54% 25.29%      2.01s 23.54%  compress/flate.(*compressor).reset
         0     0% 25.29%      1.01s 11.83%  compress/flate.(*Writer).Close (inline)
     0.02s  0.23% 25.53%      1.01s 11.83%  compress/flate.(*compressor).close
         0     0% 25.53%      1.01s 11.83%  compress/gzip.(*Writer).Close
         0     0% 25.53%      1.01s 11.83%  runtime.mcall
     0.07s  0.82% 26.35%      0.99s 11.59%  compress/flate.(*compressor).deflate
     0.96s 11.24% 37.59%      0.96s 11.24%  internal/runtime/syscall.Syscall6
     0.06s   0.7% 38.29%      0.91s 10.66%  runtime.schedule
         0     0% 38.29%      0.89s 10.42%  internal/poll.ignoringEINTRIO (inline)
         0     0% 38.29%      0.88s 10.30%  syscall.Syscall
         0     0% 38.29%      0.86s 10.07%  compress/flate.(*compressor).writeBlock
     0.01s  0.12% 38.41%      0.86s 10.07%  compress/flate.(*huffmanBitWriter).writeBlock
         0     0% 38.41%      0.85s  9.95%  github.com/twmb/franz-go/pkg/kgo.(*brokerCxn).writeConn.func2
         0     0% 38.41%      0.80s  9.37%  syscall.RawSyscall6
         0     0% 38.41%      0.79s  9.25%  runtime.newstack
         0     0% 38.41%      0.78s  9.13%  crypto/tls.(*Conn).Write
     0.03s  0.35% 38.76%      0.75s  8.78%  github.com/twmb/franz-go/pkg/kgo.(*brokerCxn).readConn.func2
     0.02s  0.23% 38.99%      0.74s  8.67%  runtime.copystack
         0     0% 38.99%      0.74s  8.67%  runtime.findRunnable
     0.05s  0.59% 39.58%      0.64s  7.49%  compress/flate.(*huffmanBitWriter).indexTokens
     0.01s  0.12% 39.70%      0.64s  7.49%  crypto/tls.(*Conn).writeRecordLocked
     0.03s  0.35% 40.05%      0.63s  7.38%  compress/flate.(*huffmanEncoder).generate
     0.01s  0.12% 40.16%      0.61s  7.14%  io.ReadAtLeast
         0     0% 40.16%      0.61s  7.14%  io.ReadFull (inline)
         0     0% 40.16%      0.61s  7.14%  net.(*conn).Read
     0.01s  0.12% 40.28%      0.61s  7.14%  net.(*netFD).Read
     0.01s  0.12% 40.40%      0.59s  6.91%  crypto/tls.(*Conn).Read
     0.03s  0.35% 40.75%      0.59s  6.91%  internal/poll.(*FD).Read
     0.59s  6.91% 47.66%      0.59s  6.91%  runtime.futex
     0.03s  0.35% 48.01%      0.58s  6.79%  market-adapter/internal.PublishToKafkaLoop
         0     0% 48.01%      0.58s  6.79%  runtime.park_m
         0     0% 48.01%      0.54s  6.32%  syscall.Read (inline)
     0.01s  0.12% 48.13%      0.54s  6.32%  syscall.read
         0     0% 48.13%      0.43s  5.04%  runtime.goexit0
         0     0% 48.13%      0.42s  4.92%  crypto/tls.(*Conn).readRecord (inline)
     0.01s  0.12% 48.24%      0.42s  4.92%  crypto/tls.(*Conn).readRecordOrCCS
         0     0% 48.24%      0.42s  4.92%  runtime.systemstack
         0     0% 48.24%      0.39s  4.57%  market-adapter/internal.ReadMessages
         0     0% 48.24%      0.38s  4.45%  crypto/tls.(*Conn).write
     0.01s  0.12% 48.36%      0.38s  4.45%  internal/poll.(*FD).Write
         0     0% 48.36%      0.38s  4.45%  net.(*conn).Write
         0     0% 48.36%      0.38s  4.45%  net.(*netFD).Write
     0.28s  3.28% 51.64%      0.36s  4.22%  compress/flate.(*huffmanEncoder).bitCounts
     0.06s   0.7% 52.34%      0.36s  4.22%  runtime.adjustframe
