File: aggregator
Build ID: daa602da4b0a67620d3e04c9cbe7283fdb52acb2
Type: cpu
Time: 2026-08-10 00:07:28 IST
Duration: 30s, Total samples = 310ms ( 1.03%)
Showing nodes accounting for 310ms, 100% of 310ms total
      flat  flat%   sum%        cum   cum%
         0     0%     0%      160ms 51.61%  github.com/twmb/franz-go/pkg/kgo.Fetches.EachRecord
      10ms  3.23%  3.23%      160ms 51.61%  market-aggregator/worker.(*Worker).ProcessTick
         0     0%  3.23%      160ms 51.61%  market-aggregator/worker.(*Worker).Run
         0     0%  3.23%      160ms 51.61%  market-aggregator/worker.(*Worker).Run.func1
      40ms 12.90% 16.13%       50ms 16.13%  internal/runtime/maps.(*Iter).Next
         0     0% 16.13%       40ms 12.90%  github.com/twmb/franz-go/pkg/kgo.(*broker).handleReq
         0     0% 16.13%       40ms 12.90%  github.com/twmb/franz-go/pkg/kgo.(*broker).handleReqs
         0     0% 16.13%       30ms  9.68%  github.com/twmb/franz-go/pkg/kgo.(*brokerCxn).readConn.func2
         0     0% 16.13%       30ms  9.68%  github.com/twmb/franz-go/pkg/kgo.(*brokerCxn).writeRequest
         0     0% 16.13%       30ms  9.68%  google.golang.org/protobuf/internal/impl.(*MessageInfo).unmarshal
         0     0% 16.13%       30ms  9.68%  google.golang.org/protobuf/internal/impl.(*MessageInfo).unmarshalPointer
      10ms  3.23% 19.35%       30ms  9.68%  google.golang.org/protobuf/internal/impl.(*MessageInfo).unmarshalPointerEager
         0     0% 19.35%       30ms  9.68%  google.golang.org/protobuf/proto.Unmarshal
         0     0% 19.35%       30ms  9.68%  google.golang.org/protobuf/proto.UnmarshalOptions.unmarshal
      20ms  6.45% 25.81%       30ms  9.68%  market-aggregator/internal/aggmetrics.(*RollingVolume).Update
      10ms  3.23% 29.03%       30ms  9.68%  runtime.mallocgc
         0     0% 29.03%       30ms  9.68%  runtime.mapIterNext
         0     0% 29.03%       30ms  9.68%  runtime.systemstack
         0     0% 29.03%       20ms  6.45%  crypto/tls.(*Conn).HandshakeContext (inline)
         0     0% 29.03%       20ms  6.45%  crypto/tls.(*Conn).Read
         0     0% 29.03%       20ms  6.45%  crypto/tls.(*Conn).handshakeContext
         0     0% 29.03%       20ms  6.45%  github.com/twmb/franz-go/pkg/kgo.(*produceRequest).AppendTo
         0     0% 29.03%       20ms  6.45%  github.com/twmb/franz-go/pkg/kgo.seqRecBatch.appendTo
         0     0% 29.03%       20ms  6.45%  github.com/twmb/franz-go/pkg/kmsg.(*RequestFormatter).AppendRequest
         0     0% 29.03%       20ms  6.45%  google.golang.org/protobuf/internal/impl.consumeStringValidateUTF8
         0     0% 29.03%       20ms  6.45%  io.ReadAtLeast
         0     0% 29.03%       20ms  6.45%  io.ReadFull (inline)
      10ms  3.23% 32.26%       20ms  6.45%  market-aggregator/internal/aggmetrics.(*Returns).Update
         0     0% 32.26%       20ms  6.45%  runtime.gcBgMarkWorker
         0     0% 32.26%       20ms  6.45%  runtime.gcBgMarkWorker.func2
         0     0% 32.26%       20ms  6.45%  runtime.gcDrain
      20ms  6.45% 38.71%       20ms  6.45%  runtime.growslice
         0     0% 38.71%       20ms  6.45%  runtime.mapIterStart
      20ms  6.45% 45.16%       20ms  6.45%  runtime.nextFreeFast (inline)
      10ms  3.23% 48.39%       20ms  6.45%  runtime.scanobject
      10ms  3.23% 51.61%       20ms  6.45%  runtime.selectgo
         0     0% 51.61%       20ms  6.45%  runtime.slicebytetostring
         0     0% 51.61%       10ms  3.23%  bufio.(*Writer).Flush
         0     0% 51.61%       10ms  3.23%  compress/flate.(*Writer).Write (inline)
      10ms  3.23% 54.84%       10ms  3.23%  compress/flate.(*compressor).deflate
         0     0% 54.84%       10ms  3.23%  compress/flate.(*compressor).write
         0     0% 54.84%       10ms  3.23%  compress/gzip.(*Writer).Write
      10ms  3.23% 58.06%       10ms  3.23%  context.(*cancelCtx).Done
         0     0% 58.06%       10ms  3.23%  crypto/internal/fips140/hmac.(*HMAC).Sum
         0     0% 58.06%       10ms  3.23%  crypto/sha1.(*digest).ConstantTimeSum
         0     0% 58.06%       10ms  3.23%  crypto/tls.(*Conn).Handshake (inline)
         0     0% 58.06%       10ms  3.23%  crypto/tls.(*Conn).clientHandshake
         0     0% 58.06%       10ms  3.23%  crypto/tls.(*Conn).readRecord (inline)
         0     0% 58.06%       10ms  3.23%  crypto/tls.(*Conn).readRecordOrCCS
